baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Zfy2	105.438116699651	-2.06311423336409	0.626250477858602	-3.29439147163399	0.000986350252424957	0.0129078392056063
Igsf6	91.6094946293556	-2.06217910506283	0.708473987184443	-2.91073369293087	0.00360581204324982	0.0359393893272803
Btk	414.999313431605	-2.06077699801761	0.350629173455818	-5.8773688957667	0.00000000416838607489074	0.000000279041383205667
Smtnl2	70.1574047364151	-2.05334521853896	0.71134304113395	-2.88657525244884	0.0038945960033713	0.0381621074953849
Aspa	261.73921639271	-2.04960389791379	0.461738666017184	-4.43888296293884	0.00000904269696675469	0.000255396577211141
Zfhx2	1153.99774882198	-2.04834554104246	0.3478997006302	-5.88774735169936	0.00000000391494981036973	0.000000265911030046772
Tfpi	107.742868581748	-2.04574855197991	0.637000829588984	-3.21153200585297	0.00132029262737203	0.0162654740516785
Lmo2	474.84862831827	-2.02410861850045	0.537997954671332	-3.76229798073675	0.000168359287841679	0.00313400364158762
Epha7	197.252024257624	-2.02196285943047	0.569639527115066	-3.54954802675068	0.000385893067660182	0.00619029386417093
Slc6a15	186.850494118352	-2.01996616722241	0.557743437870338	-3.62167625841617	0.000292700275455215	0.00493478580092597
Tomm40l	137.237810795732	-2.01706365378961	0.549657003881111	-3.66967697954759	0.000242857153935427	0.00427502277041326
Klb	230.598746324179	-2.01549158980954	0.444069121600105	-4.53868889272724	0.00000566050764613197	0.000166984975560893
Foxb2	254.27628478094	-2.00407223203808	0.588465222112145	-3.40559162501562	0.000660208552358881	0.00938035090106639
Rian	834.412757188307	-1.99833480331655	0.210758885484554	-9.48161591727056	0.00000000000000000000250375317214663	0.00000000000000000120214686789551
Gstm1	371.93952323849	-1.99740288902535	0.493318828435133	-4.04890868520335	0.0000514570155071551	0.00113189175974981
Nt5e	155.139130478428	-1.99131507853851	0.570687374113016	-3.48932737759178	0.000484237702712515	0.00735280891228906
Triml1	522.905935131593	-1.98691115865536	0.477871132182673	-4.15783884994298	0.0000321272522452196	0.000769948124375969
Pdlim4	175.205192855918	-1.9771785366964	0.561332749127731	-3.52229322049851	0.000427830653519872	0.00669376938466012
Zfp202	125.645027307048	-1.96973499169881	0.577725383787684	-3.40946589326721	0.000650902162486824	0.00927652170979174
Plod2	5051.69819423877	-1.95513452266799	0.209150402988204	-9.34798353115416	0.00000000000000000000893345785752747	0.00000000000000000388717085025664
Six1	490.619361067214	-1.95486024742148	0.288614929906854	-6.77324713607983	0.0000000000125923573272193	0.0000000013084774882403
Zfp462	403.816278683299	-1.95372431627625	0.424882266660074	-4.59827220287197	0.00000426009168451918	0.000130655322941068
Rfx2	3113.65761126206	-1.93838321735827	0.287449540136861	-6.74338604415707	0.0000000000154737348334234	0.00000000158423738103373
Eya1	141.878103963005	-1.932442234765	0.555550689168563	-3.47842649184197	0.00050436674915117	0.00757248861758303
Oas1a	146.178397544927	-1.9127831291082	0.553658548338559	-3.45480645941105	0.000550687975433884	0.00811405224332424
Trim44	2116.45410071109	-1.90949237656286	0.286943340415277	-6.65459729366556	0.000000000028407678473369	0.00000000278555292298021
